"scenario_id","kind","method","excluded_probability","point_missing_probability","ci_missing_probability","p_missing_probability","point_converged_probability","point_nonconverged_probability","convergence_unknown_probability","ci_diagnostic_failed_probability","plrt_iteration_limit_probability","closed_form_error_over_1e8_probability"
"E050R4","exact","logistf|lf_irls_default|PL",0.00443458980044346,0,0,0,0.995565410199557,0,0,0,0,0
"E100R4","exact","logistf|lf_irls_default|PL",0.00117577895355673,0,0,0,0.998824221046443,0,0,0,0,0
"E200R4","exact","logistf|lf_irls_default|PL",0.00030298439630359,0,0,0,0.999697015603697,0,0,0,0,0
"C40R00","simulation","logistf|lf_irls_default|PL",0.048,0,0,0,0.89,0.062,0,0.0636,0.0296,
"C100R00","simulation","logistf|lf_irls_default|PL",0.0032,0,0,0,0.9844,0.0124,0,0.0124,0.008,
"C40R50","simulation","logistf|lf_irls_default|PL",0.048,0,0,0,0.8796,0.0724,0,0.074,0.0336,
"C100R50","simulation","logistf|lf_irls_default|PL",0.004,0,0,0,0.9828,0.0132,0,0.0132,0.006,
"C40R90","simulation","logistf|lf_irls_default|PL",0.0524,0,0,0,0.8524,0.0952,0,0.0988,0.0436,
"C100R90","simulation","logistf|lf_irls_default|PL",0.0044,0,0,0,0.98,0.0156,0,0.0156,0.0084,
"C40R99","simulation","logistf|lf_irls_default|PL",0.0532,0,0,0,0.8196,0.1272,0,0.1304,0.0532,
"C100R99","simulation","logistf|lf_irls_default|PL",0.0044,0,0,0,0.9752,0.0204,0,0.0204,0.0132,
"E020R1","exact","logistf|lf_irls_default|Wald",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0
"E050R1","exact","logistf|lf_irls_default|Wald",0.0029585798816568,0,0,0,0.997041420118343,0,0,0,0,0
"E100R1","exact","logistf|lf_irls_default|Wald",0.000768935024990388,0,0,0,0.99923106497501,0,0,0,0,0
"E200R1","exact","logistf|lf_irls_default|Wald",0.000196059209881384,0,0,0,0.999803940790118,0,0,0,0,0
"E020R4","exact","logistf|lf_irls_default|Wald",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0
"E050R4","exact","logistf|lf_irls_default|Wald",0.00443458980044346,0,0,0,0.995565410199557,0,0,0,0,0
"E100R4","exact","logistf|lf_irls_default|Wald",0.00117577895355673,0,0,0,0.998824221046443,0,0,0,0,0
"E200R4","exact","logistf|lf_irls_default|Wald",0.00030298439630359,0,0,0,0.999697015603697,0,0,0,0,0
"C40R00","simulation","logistf|lf_irls_default|Wald",0.048,0,0,0,0.89,0.062,0,0.062,0,
"C100R00","simulation","logistf|lf_irls_default|Wald",0.0032,0,0,0,0.9844,0.0124,0,0.0124,0,
"C40R50","simulation","logistf|lf_irls_default|Wald",0.048,0,0,0,0.8796,0.0724,0,0.0724,0,
"C100R50","simulation","logistf|lf_irls_default|Wald",0.004,0,0,0,0.9828,0.0132,0,0.0132,0,
"C40R90","simulation","logistf|lf_irls_default|Wald",0.0524,0,0,0,0.8524,0.0952,0,0.0952,0,
"C100R90","simulation","logistf|lf_irls_default|Wald",0.0044,0,0,0,0.98,0.0156,0,0.0156,0,
"C40R99","simulation","logistf|lf_irls_default|Wald",0.0532,0,0,0,0.8196,0.1272,0,0.1272,0,
"C100R99","simulation","logistf|lf_irls_default|Wald",0.0044,0,0,0,0.9752,0.0204,0,0.0204,0,
"E020R1","exact","logistf|lf_irls_fit_pl_tight|PL",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0
"E050R1","exact","logistf|lf_irls_fit_pl_tight|PL",0.0029585798816568,0,0,0,0.997041420118343,0,0,0.0177514792899408,0,0
"E100R1","exact","logistf|lf_irls_fit_pl_tight|PL",0.000768935024990388,0,0,0,0.99923106497501,0,0,0.0338331410995771,0,0
"E200R1","exact","logistf|lf_irls_fit_pl_tight|PL",0.000196059209881384,0,0,0,0.999803940790118,0,0,0.0236251347907068,0,0
"E020R4","exact","logistf|lf_irls_fit_pl_tight|PL",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0
"E050R4","exact","logistf|lf_irls_fit_pl_tight|PL",0.00443458980044346,0,0,0,0.995565410199557,0,0,0.00443458980044346,0,0
"E100R4","exact","logistf|lf_irls_fit_pl_tight|PL",0.00117577895355673,0,0,0,0.998824221046443,0,0,0.0135214579659024,0,0
"E200R4","exact","logistf|lf_irls_fit_pl_tight|PL",0.00030298439630359,0,0,0,0.999697015603697,0,0,0.0148462354188759,0,0
"C40R00","simulation","logistf|lf_irls_fit_pl_tight|PL",0.048,0,0,0,0.952,0,0,0.008,0,
"C100R00","simulation","logistf|lf_irls_fit_pl_tight|PL",0.0032,0,0,0,0.9968,0,0,0.0016,0,
"C40R50","simulation","logistf|lf_irls_fit_pl_tight|PL",0.048,0,0,0,0.952,0,0,0.0068,0,
"C100R50","simulation","logistf|lf_irls_fit_pl_tight|PL",0.004,0,0,0,0.996,0,0,0.0012,0,
"C40R90","simulation","logistf|lf_irls_fit_pl_tight|PL",0.0524,0,0,0,0.9476,0,0,0.0104,0,
"C100R90","simulation","logistf|lf_irls_fit_pl_tight|PL",0.0044,0,0,0,0.9956,0,0,8e-04,0,
"C40R99","simulation","logistf|lf_irls_fit_pl_tight|PL",0.0532,0,0,0,0.9468,0,0,0.0324,0,
"C100R99","simulation","logistf|lf_irls_fit_pl_tight|PL",0.0044,0,0,0,0.9956,0,0,0.0024,0,
"E020R1","exact","logistf|lf_irls_fit_pl_tight|Wald",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0
"E050R1","exact","logistf|lf_irls_fit_pl_tight|Wald",0.0029585798816568,0,0,0,0.997041420118343,0,0,0,0,0
"E100R1","exact","logistf|lf_irls_fit_pl_tight|Wald",0.000768935024990388,0,0,0,0.99923106497501,0,0,0,0,0
"E200R1","exact","logistf|lf_irls_fit_pl_tight|Wald",0.000196059209881384,0,0,0,0.999803940790118,0,0,0,0,0
"E020R4","exact","logistf|lf_irls_fit_pl_tight|Wald",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0
"E050R4","exact","logistf|lf_irls_fit_pl_tight|Wald",0.00443458980044346,0,0,0,0.995565410199557,0,0,0,0,0
"E100R4","exact","logistf|lf_irls_fit_pl_tight|Wald",0.00117577895355673,0,0,0,0.998824221046443,0,0,0,0,0
"E200R4","exact","logistf|lf_irls_fit_pl_tight|Wald",0.00030298439630359,0,0,0,0.999697015603697,0,0,0,0,0
"C40R00","simulation","logistf|lf_irls_fit_pl_tight|Wald",0.048,0,0,0,0.952,0,0,0,0,
"C100R00","simulation","logistf|lf_irls_fit_pl_tight|Wald",0.0032,0,0,0,0.9968,0,0,0,0,
"C40R50","simulation","logistf|lf_irls_fit_pl_tight|Wald",0.048,0,0,0,0.952,0,0,0,0,
"C100R50","simulation","logistf|lf_irls_fit_pl_tight|Wald",0.004,0,0,0,0.996,0,0,0,0,
"C40R90","simulation","logistf|lf_irls_fit_pl_tight|Wald",0.0524,0,0,0,0.9476,0,0,0,0,
"C100R90","simulation","logistf|lf_irls_fit_pl_tight|Wald",0.0044,0,0,0,0.9956,0,0,0,0,
"C40R99","simulation","logistf|lf_irls_fit_pl_tight|Wald",0.0532,0,0,0,0.9468,0,0,0,0,
"C100R99","simulation","logistf|lf_irls_fit_pl_tight|Wald",0.0044,0,0,0,0.9956,0,0,0,0,
"E020R1","exact","logistf|lf_nr_default|PL",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0
"E050R1","exact","logistf|lf_nr_default|PL",0.0029585798816568,0,0,0,0.997041420118343,0,0,0,0,0
"E100R1","exact","logistf|lf_nr_default|PL",0.000768935024990388,0,0,0,0.99923106497501,0,0,0,0,0
"E200R1","exact","logistf|lf_nr_default|PL",0.000196059209881384,0,0,0,0.999803940790118,0,0,0,0,0
"E020R4","exact","logistf|lf_nr_default|PL",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0
"E050R4","exact","logistf|lf_nr_default|PL",0.00443458980044346,0,0,0,0.995565410199557,0,0,0,0,0
"E100R4","exact","logistf|lf_nr_default|PL",0.00117577895355673,0,0,0,0.998824221046443,0,0,0,0,0
"E200R4","exact","logistf|lf_nr_default|PL",0.00030298439630359,0,0,0,0.999697015603697,0,0,0,0,0
"C40R00","simulation","logistf|lf_nr_default|PL",0.048,0,0,0,0.8944,0.0576,0,0.0592,0.0248,
"C100R00","simulation","logistf|lf_nr_default|PL",0.0032,0,0,0,0.9852,0.0116,0,0.0116,0.0072,
"C40R50","simulation","logistf|lf_nr_default|PL",0.048,0,0,0,0.888,0.064,0,0.0656,0.0288,
"C100R50","simulation","logistf|lf_nr_default|PL",0.004,0,0,0,0.984,0.012,0,0.0124,0.006,
"C40R90","simulation","logistf|lf_nr_default|PL",0.0524,0,0,0,0.8604,0.0872,0,0.0912,0.0384,
"C100R90","simulation","logistf|lf_nr_default|PL",0.0044,0,0,0,0.982,0.0136,0,0.0136,0.0076,
"C40R99","simulation","logistf|lf_nr_default|PL",0.0532,0,0,0,0.8384,0.1084,0,0.1124,0.0452,
"C100R99","simulation","logistf|lf_nr_default|PL",0.0044,0,0,0,0.9788,0.0168,0,0.0168,0.0108,
"E020R1","exact","logistf|lf_nr_default|Wald",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0
"E050R1","exact","logistf|lf_nr_default|Wald",0.0029585798816568,0,0,0,0.997041420118343,0,0,0,0,0
"E100R1","exact","logistf|lf_nr_default|Wald",0.000768935024990388,0,0,0,0.99923106497501,0,0,0,0,0
"E200R1","exact","logistf|lf_nr_default|Wald",0.000196059209881384,0,0,0,0.999803940790118,0,0,0,0,0
"E020R4","exact","logistf|lf_nr_default|Wald",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0
"E050R4","exact","logistf|lf_nr_default|Wald",0.00443458980044346,0,0,0,0.995565410199557,0,0,0,0,0
"E100R4","exact","logistf|lf_nr_default|Wald",0.00117577895355673,0,0,0,0.998824221046443,0,0,0,0,0
"E200R4","exact","logistf|lf_nr_default|Wald",0.00030298439630359,0,0,0,0.999697015603697,0,0,0,0,0
"C40R00","simulation","logistf|lf_nr_default|Wald",0.048,0,0,0,0.8944,0.0576,0,0.0576,0,
"C100R00","simulation","logistf|lf_nr_default|Wald",0.0032,0,0,0,0.9852,0.0116,0,0.0116,0,
"C40R50","simulation","logistf|lf_nr_default|Wald",0.048,0,0,0,0.888,0.064,0,0.064,0,
"C100R50","simulation","logistf|lf_nr_default|Wald",0.004,0,0,0,0.984,0.012,0,0.012,0,
"C40R90","simulation","logistf|lf_nr_default|Wald",0.0524,0,0,0,0.8604,0.0872,0,0.0872,0,
"C100R90","simulation","logistf|lf_nr_default|Wald",0.0044,0,0,0,0.982,0.0136,0,0.0136,0,
"C40R99","simulation","logistf|lf_nr_default|Wald",0.0532,0,0,0,0.8384,0.1084,0,0.1084,0,
"C100R99","simulation","logistf|lf_nr_default|Wald",0.0044,0,0,0,0.9788,0.0168,0,0.0168,0,
"E020R1","exact","logistf|lf_nr_fit_pl_tight|PL",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0
"E050R1","exact","logistf|lf_nr_fit_pl_tight|PL",0.0029585798816568,0,0,0,0.997041420118343,0,0,0.0177514792899408,0,0
"E100R1","exact","logistf|lf_nr_fit_pl_tight|PL",0.000768935024990388,0,0,0,0.99923106497501,0,0,0.0334486735870819,0,0
"E200R1","exact","logistf|lf_nr_fit_pl_tight|PL",0.000196059209881384,0,0,0,0.999803940790118,0,0,0.023233016370944,0,0
"E020R4","exact","logistf|lf_nr_fit_pl_tight|PL",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0
"E050R4","exact","logistf|lf_nr_fit_pl_tight|PL",0.00443458980044346,0,0,0,0.995565410199557,0,0,0.00443458980044346,0,0
"E100R4","exact","logistf|lf_nr_fit_pl_tight|PL",0.00117577895355673,0,0,0,0.998824221046443,0,0,0.0135214579659024,0,0
"E200R4","exact","logistf|lf_nr_fit_pl_tight|PL",0.00030298439630359,0,0,0,0.999697015603697,0,0,0.0151492198151795,0,0
"C40R00","simulation","logistf|lf_nr_fit_pl_tight|PL",0.048,0,0,0,0.952,0,0,0.008,0,
"C100R00","simulation","logistf|lf_nr_fit_pl_tight|PL",0.0032,0,0,0,0.9968,0,0,0.0016,0,
"C40R50","simulation","logistf|lf_nr_fit_pl_tight|PL",0.048,0,0,0,0.952,0,0,0.0072,0,
"C100R50","simulation","logistf|lf_nr_fit_pl_tight|PL",0.004,0,0,0,0.996,0,0,0.0012,0,
"C40R90","simulation","logistf|lf_nr_fit_pl_tight|PL",0.0524,0,0,0,0.9476,0,0,0.012,0,
"C100R90","simulation","logistf|lf_nr_fit_pl_tight|PL",0.0044,0,0,0,0.9956,0,0,8e-04,0,
"C40R99","simulation","logistf|lf_nr_fit_pl_tight|PL",0.0532,0,0,0,0.9468,0,0,0.0324,0,
"C100R99","simulation","logistf|lf_nr_fit_pl_tight|PL",0.0044,0,0,0,0.9956,0,0,0.0032,0,
"E020R1","exact","logistf|lf_nr_fit_pl_tight|Wald",0.0165289256198347,0,0,0,0.983471074380165,0,0,0,0,0
"E050R1","exact","logistf|lf_nr_fit_pl_tight|Wald",0.0029585798816568,0,0,0,0.997041420118343,0,0,0,0,0
"E100R1","exact","logistf|lf_nr_fit_pl_tight|Wald",0.000768935024990388,0,0,0,0.99923106497501,0,0,0,0,0
"E200R1","exact","logistf|lf_nr_fit_pl_tight|Wald",0.000196059209881384,0,0,0,0.999803940790118,0,0,0,0,0
"E020R4","exact","logistf|lf_nr_fit_pl_tight|Wald",0.0235294117647059,0,0,0,0.976470588235294,0,0,0,0,0
"E050R4","exact","logistf|lf_nr_fit_pl_tight|Wald",0.00443458980044346,0,0,0,0.995565410199557,0,0,0,0,0
"E100R4","exact","logistf|lf_nr_fit_pl_tight|Wald",0.00117577895355673,0,0,0,0.998824221046443,0,0,0,0,0
"E200R4","exact","logistf|lf_nr_fit_pl_tight|Wald",0.00030298439630359,0,0,0,0.999697015603697,0,0,0,0,0
"C40R00","simulation","logistf|lf_nr_fit_pl_tight|Wald",0.048,0,0,0,0.952,0,0,0,0,
"C100R00","simulation","logistf|lf_nr_fit_pl_tight|Wald",0.0032,0,0,0,0.9968,0,0,0,0,
"C40R50","simulation","logistf|lf_nr_fit_pl_tight|Wald",0.048,0,0,0,0.952,0,0,0,0,
"C100R50","simulation","logistf|lf_nr_fit_pl_tight|Wald",0.004,0,0,0,0.996,0,0,0,0,
