"scenario","A","B","available","different","proportion"
"E050R1","sas_proc|fisher_default|Wald","logistf|lf_nr_default|Wald",674,12,0.0178041543026706
"E050R1","sas_proc|fisher_default|Wald","brglm2|bg_asmean_default|Wald",674,0,0
"E050R1","logistf|lf_nr_default|Wald","brglm2|bg_asmean_default|Wald",674,12,0.0178041543026706
