"scenario_id","n","n_exposed","rho","true_beta","method","engine","variant","inference","cohort","generated_n","excluded_one_outcome_n","fitted_n","ci_available_n","ci_unavailable_fitted_n","ci_available_fraction","point_nonconverged_available_n","point_unknown_available_n","ci_nonconverged_available_n","ci_unknown_available_n","denominator_n","covered_n","interval_below_truth_n","interval_above_truth_n","coverage","mcse","mc_low","mc_high"
"C40R99",40,20,0.99,0.693147180559945,"logistf|lf_nr_default|Wald","logistf","lf_nr_default","Wald","available",2500,133,2367,2367,0,0.9468,271,0,271,0,2367,2347,20,0,0.991550485847064,0.00188136974518262,0.987863001146506,0.995237970547622
"C40R99",40,20,0.99,0.693147180559945,"logistf|lf_nr_default|PL","logistf","lf_nr_default","PL","available",2500,133,2367,2367,0,0.9468,271,0,281,0,2367,2324,37,6,0.981833544571187,0.0027450793497154,0.976453189045745,0.987213900096629
"C40R99",40,20,0.99,0.693147180559945,"brglm2|bg_asmean_default|Wald","brglm2","bg_asmean_default","Wald","available",2500,133,2367,2367,0,0.9468,2,0,2,0,2367,2358,9,0,0.996197718631179,0.00126501527085396,0.993718288700305,0.998677148562052
"C100R00",100,20,0,0.693147180559945,"sas_proc|fisher_default|Wald","sas_proc","fisher_default","Wald","available",2500,8,2492,2492,0,0.9968,12,0,12,0,2492,2452,2,38,0.983948635634029,0.00251749242005948,0.979014350490712,0.988882920777346
"C100R00",100,20,0,0.693147180559945,"sas_proc|fisher_default|PL","sas_proc","fisher_default","PL","available",2500,8,2492,2489,3,0.9956,11,0,0,2489,2489,2419,19,51,0.971876255524307,0.00331382529965852,0.965381157936976,0.978371353111638
"C100R00",100,20,0,0.693147180559945,"sas_fl|default|PL","sas_fl","default","PL","available",2500,8,2492,2492,0,0.9968,0,2492,0,2492,2492,2421,19,52,0.971508828250401,0.00333276362130756,0.964976611552638,0.978041044948164
"C100R00",100,20,0,0.693147180559945,"logistf|lf_nr_default|Wald","logistf","lf_nr_default","Wald","available",2500,8,2492,2492,0,0.9968,29,0,29,0,2492,2442,2,48,0.979935794542536,0.00280889674600276,0.974430356920371,0.985441232164701
"C100R00",100,20,0,0.693147180559945,"logistf|lf_nr_default|PL","logistf","lf_nr_default","PL","available",2500,8,2492,2492,0,0.9968,29,0,29,0,2492,2421,19,52,0.971508828250401,0.00333276362130756,0.964976611552638,0.978041044948164
"C100R00",100,20,0,0.693147180559945,"brglm2|bg_asmean_default|Wald","brglm2","bg_asmean_default","Wald","available",2500,8,2492,2492,0,0.9968,0,0,0,0,2492,2452,2,38,0.983948635634029,0.00251749242005948,0.979014350490712,0.988882920777346
"C100R50",100,20,0.5,0.693147180559945,"sas_proc|fisher_default|Wald","sas_proc","fisher_default","Wald","available",2500,10,2490,2490,0,0.996,9,0,9,0,2490,2461,1,28,0.988353413654618,0.0021500857713237,0.984139245542824,0.992567581766413
"C100R50",100,20,0.5,0.693147180559945,"sas_proc|fisher_default|PL","sas_proc","fisher_default","PL","available",2500,10,2490,2489,1,0.9956,9,0,0,2489,2489,2416,25,48,0.970670952189634,0.00338199179884903,0.96404224826389,0.977299656115379
"C100R50",100,20,0.5,0.693147180559945,"sas_fl|default|PL","sas_fl","default","PL","available",2500,10,2490,2490,0,0.996,0,2490,0,2490,2490,2417,25,48,0.970682730923695,0.00338065408051957,0.964056648925876,0.977308812921513
"C100R50",100,20,0.5,0.693147180559945,"logistf|lf_nr_default|Wald","logistf","lf_nr_default","Wald","available",2500,10,2490,2490,0,0.996,30,0,30,0,2490,2442,2,46,0.980722891566265,0.00275546201085055,0.975322186024998,0.986123597107532
"C100R50",100,20,0.5,0.693147180559945,"logistf|lf_nr_default|PL","logistf","lf_nr_default","PL","available",2500,10,2490,2490,0,0.996,30,0,31,0,2490,2417,25,48,0.970682730923695,0.00338065408051957,0.964056648925876,0.977308812921513
"C100R50",100,20,0.5,0.693147180559945,"brglm2|bg_asmean_default|Wald","brglm2","bg_asmean_default","Wald","available",2500,10,2490,2490,0,0.996,0,0,0,0,2490,2461,1,28,0.988353413654618,0.0021500857713237,0.984139245542824,0.992567581766413
"C100R90",100,20,0.9,0.693147180559945,"sas_proc|fisher_default|Wald","sas_proc","fisher_default","Wald","available",2500,11,2489,2489,0,0.9956,14,0,14,0,2489,2456,1,32,0.986741663318602,0.00229262913018703,0.982248110223435,0.991235216413768
"C100R90",100,20,0.9,0.693147180559945,"sas_proc|fisher_default|PL","sas_proc","fisher_default","PL","available",2500,11,2489,2485,4,0.994,12,0,0,2485,2485,2413,21,51,0.97102615694165,0.00336476950677373,0.964431208708373,0.977621105174927
"C100R90",100,20,0.9,0.693147180559945,"sas_fl|default|PL","sas_fl","default","PL","available",2500,11,2489,2489,0,0.9956,0,2489,0,2489,2489,2417,21,51,0.971072719967859,0.00335944262665479,0.964488212419615,0.977657227516102
"C100R90",100,20,0.9,0.693147180559945,"logistf|lf_nr_default|Wald","logistf","lf_nr_default","Wald","available",2500,11,2489,2489,0,0.9956,34,0,34,0,2489,2439,4,46,0.979911611088791,0.00281224761679345,0.974399605759875,0.985423616417706
"C100R90",100,20,0.9,0.693147180559945,"logistf|lf_nr_default|PL","logistf","lf_nr_default","PL","available",2500,11,2489,2489,0,0.9956,34,0,34,0,2489,2417,21,51,0.971072719967859,0.00335944262665479,0.964488212419615,0.977657227516102
"C100R90",100,20,0.9,0.693147180559945,"brglm2|bg_asmean_default|Wald","brglm2","bg_asmean_default","Wald","available",2500,11,2489,2489,0,0.9956,1,0,1,0,2489,2456,1,32,0.986741663318602,0.00229262913018703,0.982248110223435,0.991235216413768
"C100R99",100,20,0.99,0.693147180559945,"sas_proc|fisher_default|Wald","sas_proc","fisher_default","Wald","available",2500,11,2489,2489,0,0.9956,15,0,15,0,2489,2453,2,34,0.985536359983929,0.00239311009934601,0.980845864189211,0.990226855778647
"C100R99",100,20,0.99,0.693147180559945,"sas_proc|fisher_default|PL","sas_proc","fisher_default","PL","available",2500,11,2489,2483,6,0.9932,12,0,0,2483,2483,2411,22,50,0.971002819170358,0.00336743928457663,0.964402638172588,0.977603000168129
"C100R99",100,20,0.99,0.693147180559945,"sas_fl|default|PL","sas_fl","default","PL","available",2500,11,2489,2489,0,0.9956,0,2489,0,2489,2489,2417,22,50,0.971072719967859,0.00335944262665479,0.964488212419615,0.977657227516102
"C100R99",100,20,0.99,0.693147180559945,"logistf|lf_nr_default|Wald","logistf","lf_nr_default","Wald","available",2500,11,2489,2489,0,0.9956,42,0,42,0,2489,2439,4,46,0.979911611088791,0.00281224761679345,0.974399605759875,0.985423616417706
"C100R99",100,20,0.99,0.693147180559945,"logistf|lf_nr_default|PL","logistf","lf_nr_default","PL","available",2500,11,2489,2489,0,0.9956,42,0,42,0,2489,2417,22,50,0.971072719967859,0.00335944262665479,0.964488212419615,0.977657227516102
"C100R99",100,20,0.99,0.693147180559945,"brglm2|bg_asmean_default|Wald","brglm2","bg_asmean_default","Wald","available",2500,11,2489,2489,0,0.9956,1,0,1,0,2489,2453,2,34,0.985536359983929,0.00239311009934601,0.980845864189211,0.990226855778647
