"config_id","method","low","high","includes_zero"
"n50_6.19.1.24","PROC LOGISTIC (Wald)",-0.214863010124565,3.60399043111557,TRUE
"n50_6.19.1.24","logistf (PL)",0.0195424693731299,4.01619637505913,FALSE
"n50_6.19.1.24","PROC LOGISTIC (PL)",0.0195258813529988,4.01619903903887,FALSE
