"method","term","truth","mean","bias","mcse","n","repetitions","used","separated","seed"
"MLE","x1",1,1.15219524147507,0.152195241475071,0.010911306570118,60,2000,2000,0,20261015
"MLE","x2",1,1.14393528778036,0.143935287780364,0.0112301573616859,60,2000,2000,0,20261015
"MLE","x3",1,1.15751216517359,0.157512165173588,0.0111803414037315,60,2000,2000,0,20261015
"Firth","x1",1,1.01142565658483,0.0114256565848307,0.0091752949425987,60,2000,2000,0,20261015
"Firth","x2",1,1.0039072769448,0.00390727694480453,0.00945632860713489,60,2000,2000,0,20261015
"Firth","x3",1,1.01534637562095,0.015346375620954,0.00935178299081294,60,2000,2000,0,20261015
